PetID,resnet_pred,AdoptionSpeed
86e1089a3,2,2
6296e909a,0,0
3422e4906,3,3
5842f1ff5,2,2
850a43f90,2,2
d24c30b4b,2,2
1caa6fcdb,1,1
97aa9eeac,3,3
c06d167ca,1,1
7a0942d61,4,4
8b693ca84,1,1
8e76c8e39,1,1
aaedd873d,2,2
4a9793dfb,1,1
c02be41e6,2,2
1fd342e17,4,4
b38a74866,3,3
f9d07d5fa,4,4
1c92ce464,2,2
b10e7605a,4,4
6436c1a59,2,2
234a5a54c,4,4
1bc0f89d8,4,4
1bf24d8be,4,4
988988d5b,2,1
cf7d3eec0,2,2
85fc3c314,1,1
efbf1703a,3,2
7843a9dca,3,3
d341fbfd6,2,2
1a76190c5,3,3
edb920079,1,1
543130f60,4,4
9415bc79e,3,3
4c6fe4100,4,4
0737e4f11,1,1
61fa73996,4,4
eabb13cea,1,1
deff069a2,1,1
4e3640544,3,3
ace21b6b1,3,3
8ee223a17,2,2
9a38d4275,2,1
671ffc570,3,3
aece6e7bf,4,4
c1e816568,3,4
22f6c0ac6,3,3
ea159d8da,4,4
af1035c81,3,3
0d25f084f,2,2
6fecc5cf7,3,3
7fe8ef73d,4,4
015c75c9e,3,3
9609a0b86,4,4
c740abfe1,3,3
f6551137d,2,2
8c131db77,4,4
d765ae877,2,2
8ce183889,1,1
9c0ddccc8,4,4
f9df8656a,1,1
f0ef9c777,4,4
3181e5424,3,4
9883a048e,2,2
b0dec8779,3,3
e8d0907ae,1,1
e540c1ba5,4,4
4a4db4d32,2,2
98a98311c,2,2
ef14861df,4,4
a9bc357f0,4,4
aaf4a1439,3,3
1e62e6022,1,1
4e797dcdd,4,4
45d2ddcb8,3,2
259b10a3e,4,0
d2490c888,4,4
2c93c0c11,3,3
35593da00,1,1
4cc70e613,3,3
ff125cf8d,3,4
c30dd6e9a,1,1
be9474b85,2,2
815f4cc08,3,3
ec5069cf6,3,3
867308404,2,2
e9df3ead7,4,4
258667857,2,2
fd3172797,3,3
8df0bb3b3,3,3
3d0752cd9,3,3
22051ab84,4,4
573b3ec3d,4,4
370fe2afb,3,3
dd308e46b,4,4
6a763a055,3,3
5e4154870,1,1
a44d42407,3,3
cc8401c02,3,3
0f24b6cd6,1,1
49bb70e36,1,2
43ddb2eb4,2,2
dae92dd61,4,4
a6ac8884b,3,3
60ce9e319,1,1
5247209aa,2,2
19b1f4263,0,0
d50e11ec5,4,3
4407e70f3,1,1
27b6e5aca,4,4
80ebea85c,3,3
1bf1f95ef,4,4
cdab8ba8e,1,2
b84dad49f,4,4
f0a2122d4,4,4
1104fe6bb,4,4
46d88ca3e,1,1
b99d5d532,4,4
2b6d08cba,4,4
b9429dc85,1,1
c61f6507e,1,1
e464fcd4b,2,2
86379f12f,2,2
55fcdea2f,1,3
392d3346e,1,1
33db028cb,2,2
35c0c3aca,3,3
d080818c3,3,3
6f0cb510a,1,1
61ac3c78c,4,4
368b2adc1,4,4
2e4c1faf7,2,1
a85a1c8c3,2,2
25c7d6c3b,2,2
0b819602d,4,4
4c594983d,4,4
05f99fc56,2,2
1dfadc371,3,3
6d9b202c9,3,3
54791dc58,3,2
b36616178,2,2
2ac4dd8c2,3,3
29f54c6ff,2,2
48b418070,3,3
c7eac7b01,2,2
8e0d65b3e,1,1
9a34ddc8b,2,2
ff9f62e79,3,3
4a6ee5d02,2,2
474bccd75,2,2
e4abb93bf,3,3
120805f93,3,3
2acf3fdce,1,1
e1ecc1b26,2,2
a8cdba660,4,4
9bcd62ef1,3,3
c3f2f166d,4,4
687e9c33c,4,4
bb5f471dd,2,2
0aaf6976a,2,2
45600eaab,1,1
dcba09ff1,1,1
d7f938acd,1,1
ea11b6f12,3,3
3332eb59c,4,4
b3e19ff68,4,4
594e3dc3f,4,4
fbb112b7e,3,3
d14d62508,1,2
5de61cf6b,2,2
b9590d4de,0,0
747c82f83,2,2
3004c3401,4,4
c737c30d7,4,4
03b0568b3,3,3
987baa1c7,2,2
70b3d1f9c,2,2
27456ec0f,2,2
5c28a8cec,2,2
2c8ae4c7e,4,4
cd7bea671,3,3
7bda94ad0,4,4
ab4b4681b,4,4
aa189a931,4,4
d0bc14f47,4,4
eab8c8c03,3,3
3b4a987ba,1,4
1bbb46822,2,3
5c546c236,4,4
702bee848,4,2
66757255c,4,4
0b0f596b5,1,1
938bcf142,4,4
bea72e6c5,4,4
52e555a3a,1,1
3998bcfec,2,2
e62e5aa26,2,2
933e0a3e8,4,4
1eb8a0278,1,1
d5df16a32,2,2
06296e4e2,2,4
207d61997,2,1
38a81271c,2,4
65d10be4d,3,3
c7b468b32,4,4
6df350974,2,2
249112486,4,4
8f85e69ee,4,3
b243b8e93,1,1
89523a695,3,3
4f0eacbdd,1,1
b5fcc079e,3,3
53976b229,4,4
f4ed1a08e,4,4
2f3227612,1,1
ba66a7a82,1,1
d4e83ee5b,3,3
00a1f270a,4,4
74e316be1,2,2
039509c40,1,1
eeb60466e,2,1
c6cdbebfa,1,1
82137b39f,4,4
28b64c198,4,4
f70251906,4,4
9d76ed82f,2,2
e83f846eb,1,1
60b9421cc,3,3
72a7cb335,2,2
0bd4aed6b,4,4
ae03f99f2,3,3
5a1010bca,2,2
6a5c652b5,4,4
040771e8e,4,4
706a9cd5c,3,3
62550cf78,1,1
701c5afba,1,1
d0fcfeb0f,2,1
7bce76c66,1,1
3b0b88ac2,1,1
a88d34ee3,1,1
061378b30,2,2
fc1457818,2,2
a27f0cc49,2,2
728c78b39,1,1
6c054c4ef,3,3
d5b9e0322,1,1
a2dc697f6,3,3
b04b200fa,1,1
be7b65c23,2,2
e37f4aa07,3,3
7de2f688b,3,4
e7020fa9a,2,2
752491221,1,1
c2346525a,2,2
bc7361016,3,3
66201cf73,4,2
b7359384d,2,2
be23e42d0,2,2
1c59cecac,0,0
e7e1904f4,0,0
2e3bfe5a9,3,3
13f07ee9a,2,1
d78d1dec0,4,4
821bd9373,4,4
720db9cb3,4,4
0443d6f82,1,1
67efce2e0,4,4
fa1a30192,3,3
c675f3b10,2,2
6e3d78857,1,1
d4d6997e3,1,1
d13d93f69,1,1
d8715d47e,4,4
c15b3c9f1,2,2
3bef75882,2,2
60bf93971,2,2
e9eeadf82,4,4
a4530b1d0,2,1
da6bb3100,2,3
79669f807,2,2
3af2b1473,3,3
0f0f81a37,1,1
b8976d821,3,3
9eb98f34c,2,2
e317b2a73,2,2
ebd78e1d4,2,2
0822c54d5,3,3
4036e0e12,2,3
f34d62be0,2,2
2a7b5edbf,4,4
18042e473,1,1
dc99804de,1,1
0fb490c9b,1,1
284be445a,2,2
a831df76b,1,1
145883970,2,3
e3d9dc96d,1,1
9a64e72cf,1,1
6e643eba1,3,4
a1b3dafc9,2,3
fe88a5777,3,2
bda2d149e,4,4
6cb5381cb,2,2
366a03818,4,4
732d546b4,4,4
a8a8f95f6,2,2
0b4bb9906,2,1
5eeb10b7a,1,1
f03b04b1e,4,4
a672ea96d,1,1
4df43033d,4,4
d25638f81,4,4
aafb75ee8,2,2
e9cf01a21,4,4
1c74d62ed,4,4
2148c2ef6,4,4
f0bb05fc7,4,4
479500716,2,4
1afdf61ec,3,3
b4d0c60b6,4,4
110d4487e,3,3
27cede3cf,2,2
99dcd9020,4,4
4cb8fe436,1,1
a13ed5e9d,3,3
7adc5209e,2,2
0a8ee7520,1,1
82aa52460,3,3
4c9f111f1,4,4
eb6c692dc,2,4
d096658bb,4,4
109c4f5a8,3,3
f8b702182,4,4
eb652ec07,4,4
026ebf139,3,3
6c7c5555f,4,2
1a9733afb,2,2
1a54d4e92,3,3
8526200d3,3,3
8df39788a,3,3
045543730,3,3
bf50b399e,1,1
a05289ebd,3,3
dee525fcd,3,3
ceed27182,1,2
c0a9578bb,2,2
66dda45c4,3,1
9c87d70e5,2,1
4574e3de4,3,3
794a45833,2,2
800a7c025,2,2
6c75b9082,4,4
6dbc5c968,2,3
4dad8252f,1,1
3f9f466d1,4,4
8bf9a6b80,2,2
c43ecb3e1,1,1
3a3ae56f1,4,4
172332f53,4,4
01f7fdb78,2,2
9b721dcaf,2,2
e20655a10,2,2
9718baba0,2,2
cdd7aee45,3,3
86550c5dc,4,4
ba311fc1a,2,2
bb05c1ce8,1,1
4060caeb1,1,1
e54ee8e55,2,2
166092e21,1,1
5a2c8a05f,4,4
d3d47c67d,4,4
8ba0c6894,4,4
71cc0a02e,2,2
75bbaa3fa,2,2
ca587cb42,2,2
b4eb7f4df,2,2
fd32ce3ef,4,4
a15d8c8a8,4,4
34cedf9bb,1,1
ab599a6ac,2,2
81da09ea9,2,2
e736ab042,2,2
81a815ef5,4,4
0f122f712,4,1
58a10d0cd,4,4
3b1976326,2,2
30ea81bac,3,3
35907f15e,2,2
bfb33b149,4,4
375905770,3,3
9ec161c16,2,2
19f38a3f0,4,4
e2f1f5377,1,1
0c17e1f32,1,1
b912b1114,2,2
bd9e9d9e2,3,3
241dd214b,4,4
084874570,1,1
c1df421c4,4,4
ab9f715ad,4,4
3cc84c2f8,1,1
ee5583527,1,1
9a770c49a,4,4
e07812482,1,1
997db5df5,4,4
301e16ab9,4,4
8705145ca,2,2
6e3aad5f3,2,3
75a11e0f8,0,0
219a1308d,0,0
915173d4d,2,4
c390140c3,4,4
81d97fa9f,3,3
78b07d4e0,4,4
6cd1cac68,3,3
fb3bd80d1,4,1
51372ce91,4,4
1a1283447,2,2
4831c683c,4,4
90592e40c,2,2
e4e5ea1d2,3,3
e7a74fca8,3,3
a5595a935,3,3
c7575df7b,3,3
e81c6347b,2,2
7ee058c3d,4,4
4d999ee22,1,4
0637293ec,1,1
7ead795bb,2,2
691a8b7ea,3,3
fcd21f3ec,2,2
9c31047a7,1,1
76d5726c4,4,1
03d59fc21,1,1
1a9e7158e,1,1
86afe98e6,4,4
0eba8b0ad,4,4
d38bcdf49,3,3
85a79f281,1,1
91c2159dd,4,4
91d6a2898,1,1
cfddf0c47,1,1
b102f525b,4,4
dc1c9f8d5,3,3
c96f9d3a8,2,2
072ae6d9e,1,1
fa94b21d1,1,1
b5df81f99,1,1
2c24655fe,1,1
c702e00d2,3,3
95d2a0bdf,1,1
c8208c3c9,1,1
9a9f6c753,4,4
92b89a666,4,4
6819ce556,3,3
17bdf954a,4,4
2bf834f39,2,2
53cd96ef8,1,1
da327c74b,4,4
10a6c97d5,4,2
f8d831236,1,1
75a4a14ac,2,2
df39a5468,4,2
37f127385,2,2
878e36da4,3,3
1ffe668f9,4,4
9a2f44ddf,2,2
54e2508de,2,2
432904c5d,4,4
d30b90a39,4,4
20559d623,4,3
2e1d3ae52,1,4
3b0b2a86a,2,1
64c1c412b,2,2
b28de653f,4,4
0e6dd5e23,0,0
46dea66ea,1,1
842b21328,4,4
184ea777b,4,3
86547ad6d,4,4
ead547f1b,3,3
703f38466,2,2
60b188249,1,1
845703071,4,4
3c5e8cc5d,4,4
9f533475e,1,1
0636650db,1,1
d8128cefd,4,4
6b3614a92,4,4
dd2ec7bf4,4,4
fcf377cce,4,4
fb9a96204,3,3
d4b028ea8,2,2
8520800b1,1,1
7f8f45a35,2,2
dd7ad37e7,3,1
c92256e41,2,2
caa9a4f53,3,3
4ef431298,1,1
044548f89,2,2
6c3a05812,2,3
5d1fa8ddf,2,2
68cdd6d6b,2,2
1171c9a41,2,4
f9994fbae,4,4
67dbd5ed9,1,1
129df65b1,4,4
cc25fb529,2,2
3db150833,3,3
3b8b38508,3,3
2e1d4e279,4,4
f4f349714,3,3
7d21dc4a8,4,4
c3cafb38c,4,4
a6e902691,4,4
e3f841674,1,1
a6423eca8,1,1
2cea63a41,2,1
1751240fe,4,4
6c48c9154,1,1
9a3c966a9,2,2
ac49bdbdd,2,2
7fc640ad8,2,2
05252b175,4,4
27104e464,4,4
da8a47785,4,1
1aa3952c1,4,4
8bac2d757,1,1
1ba11aaaa,2,2
e5164d828,3,3
a0dd85af0,1,1
0392c0c81,4,4
fff24fcb5,1,1
1195168b6,3,3
9f7bf4f71,2,2
accca912b,4,4
27c4981c9,4,4
c2558c319,1,1
12d514ef2,2,2
3e2cc2690,2,2
c5072890c,4,4
17e6747da,4,4
1f7d6b89e,3,3
0052dcf47,4,4
cdb855a69,2,3
6f93a41c5,4,4
23d2b8824,1,1
dc56ff89a,4,1
23379775f,3,3
fca85f778,3,3
2b3ec0f96,2,3
a9bfec3ba,4,4
8885f346b,4,4
33d3738f6,2,2
87f4ea65f,4,4
edf0ff7e4,4,4
bebab9790,1,1
f17d4ab32,4,4
97dc6aa32,3,3
489d05a55,3,3
51d8da535,2,2
bb4c6519d,2,4
9fceca5de,1,1
93849e2b5,4,4
700a93465,4,2
d95eabfe9,2,2
146d950bc,1,1
439f040ed,4,4
022d2d16e,3,3
e0238b8c2,4,4
a5b5eccb6,1,1
0b8614414,1,1
6e3457b81,2,3
20d4ea30e,3,3
f98750599,2,2
2f346ac72,4,4
fc9b4b692,4,4
ec7775c4f,0,0
487abc5e1,4,4
06f523361,1,1
5c66641a1,4,4
ed5f14fda,4,4
a23f0020a,2,2
5a5463e17,2,2
518f86025,3,3
8dfe4da6a,4,4
8c93a6e28,2,2
94bcf0199,2,2
e758e4c0c,2,2
f2b656028,1,1
c69842c2a,3,3
fa07f7477,2,2
09acd6b31,4,4
782eb0d9d,2,3
7fd7b7583,3,3
655cfc630,4,4
e9dc82251,2,2
2f19ac5ab,3,3
7687b7da2,4,4
203e2bd3c,2,2
6b0103c04,2,2
3f936cb8a,2,2
d0101e748,4,4
56583003c,4,4
f99a5e817,4,4
157e3e074,2,2
68731378e,4,4
1e24f14d6,4,4
eb8aeff64,2,3
e9e06e3f6,1,2
79f8b048f,2,2
488bfc285,2,2
5698c00e2,3,3
b5aa169b4,3,4
846e720dc,4,4
13d0266c5,4,4
1b87c512e,3,3
859bcc995,2,2
9744dcc69,3,3
a2ae5fa7d,2,2
445c703ff,4,2
b9d6b1488,2,2
1ffb40e20,4,1
c0fe34d97,4,3
1ee56e81a,4,4
